target_id,pdb,chain,method,split,protein_length,site_size,total_candidate_count,qualifying_candidate_exists,best_qualifying_rank,number_of_qualifying_candidates,best_jaccard,best_centroid_distance,candidate_density,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20
1aylA,1ayl,A,fpocket,train,532,2,26,0,,0,0.167,,0.04887218045112782,0,0,0,0,0
1aylA,1ayl,A,p2rank,train,532,2,13,0,,0,0.0,,0.02443609022556391,0,0,0,0,0
1aylA,1ayl,A,ifsitepred,train,532,2,25,0,,0,0.0,,0.046992481203007516,0,0,0,0,0
1aylA,1ayl,A,lacuna,train,532,2,45,0,,0,0.0,,0.08458646616541353,0,0,0,0,0
1b0iA,1b0i,A,fpocket,train,448,6,16,0,,0,0.2,,0.03571428571428571,0,0,0,0,0
1b0iA,1b0i,A,p2rank,train,448,6,12,0,,0,0.167,,0.026785714285714284,0,0,0,0,0
1b0iA,1b0i,A,ifsitepred,train,448,6,13,1,6,4,0.5,,0.029017857142857144,0,0,0,1,1
1b0iA,1b0i,A,lacuna,train,448,6,23,1,2,1,0.273,,0.05133928571428571,0,1,1,1,1
1bfnA,1bfn,A,fpocket,train,490,12,37,1,23,1,0.6,,0.07551020408163266,0,0,0,0,0
1bfnA,1bfn,A,p2rank,train,490,12,10,1,1,1,0.275,,0.02040816326530612,1,1,1,1,1
1bfnA,1bfn,A,ifsitepred,train,490,12,36,1,1,2,0.556,,0.07346938775510205,1,1,1,1,1
1bfnA,1bfn,A,lacuna,train,490,12,35,1,2,2,0.321,,0.07142857142857142,0,1,1,1,1
1bhsA,1bhs,A,fpocket,train,284,37,21,1,10,2,0.521,,0.07394366197183098,0,0,0,1,1
1bhsA,1bhs,A,p2rank,train,284,37,7,1,1,1,0.607,,0.02464788732394366,1,1,1,1,1
1bhsA,1bhs,A,ifsitepred,train,284,37,41,1,1,1,0.263,,0.1443661971830986,1,1,1,1,1
1bhsA,1bhs,A,lacuna,train,284,37,26,1,1,4,0.386,,0.09154929577464789,1,1,1,1,1
1byiA,1byi,A,fpocket,train,224,20,15,1,1,2,0.409,,0.06696428571428571,1,1,1,1,1
1byiA,1byi,A,p2rank,train,224,20,3,1,1,1,0.4,,0.013392857142857142,1,1,1,1,1
1byiA,1byi,A,ifsitepred,train,224,20,20,1,1,3,0.346,,0.08928571428571429,1,1,1,1,1
1byiA,1byi,A,lacuna,train,224,20,15,1,1,3,0.538,,0.06696428571428571,1,1,1,1,1
1bzjA,1bzj,A,fpocket,test,297,10,18,1,14,1,0.308,,0.06060606060606061,0,0,0,0,1
1bzjA,1bzj,A,p2rank,test,297,10,9,1,3,2,0.333,,0.030303030303030304,0,1,1,1,1
1bzjA,1bzj,A,ifsitepred,test,297,10,13,0,,0,0.0,,0.04377104377104377,0,0,0,0,0
1bzjA,1bzj,A,lacuna,test,297,10,16,1,5,1,0.421,,0.05387205387205387,0,0,1,1,1
1c3kA,1c3k,A,fpocket,train,143,3,6,0,,0,0.182,,0.04195804195804196,0,0,0,0,0
1c3kA,1c3k,A,p2rank,train,143,3,3,1,1,1,0.25,,0.02097902097902098,1,1,1,1,1
1c3kA,1c3k,A,ifsitepred,train,143,3,12,1,1,1,0.25,,0.08391608391608392,1,1,1,1,1
1c3kA,1c3k,A,lacuna,train,143,3,4,0,,0,0.118,,0.027972027972027972,0,0,0,0,0
1cuzA,1cuz,A,fpocket,train,196,6,11,1,11,1,0.5,,0.05612244897959184,0,0,0,0,1
1cuzA,1cuz,A,p2rank,train,196,6,3,0,,0,0.0,,0.015306122448979591,0,0,0,0,0
1cuzA,1cuz,A,ifsitepred,train,196,6,17,0,,0,0.0,,0.08673469387755102,0,0,0,0,0
1cuzA,1cuz,A,lacuna,train,196,6,6,0,,0,0.103,,0.030612244897959183,0,0,0,0,0
1cwqA,1cwq,A,fpocket,test,238,6,15,1,5,2,0.571,,0.06302521008403361,0,0,1,1,1
1cwqA,1cwq,A,p2rank,test,238,6,6,1,5,1,0.417,,0.025210084033613446,0,0,1,1,1
1cwqA,1cwq,A,ifsitepred,test,238,6,9,1,5,1,0.444,,0.037815126050420166,0,0,1,1,1
1cwqA,1cwq,A,lacuna,test,238,6,17,1,14,1,0.333,,0.07142857142857142,0,0,0,0,1
1dc6A,1dc6,A,fpocket,train,330,11,26,1,24,1,0.5,,0.07878787878787878,0,0,0,0,0
1dc6A,1dc6,A,p2rank,train,330,11,9,0,,0,0.056,,0.02727272727272727,0,0,0,0,0
1dc6A,1dc6,A,ifsitepred,train,330,11,43,0,,0,0.062,,0.1303030303030303,0,0,0,0,0
1dc6A,1dc6,A,lacuna,train,330,11,29,1,21,1,0.294,,0.08787878787878788,0,0,0,0,0
1dklA,1dkl,A,fpocket,train,404,14,26,1,1,1,0.367,,0.06435643564356436,1,1,1,1,1
1dklA,1dkl,A,p2rank,train,404,14,11,1,1,1,0.5,,0.027227722772277228,1,1,1,1,1
1dklA,1dkl,A,ifsitepred,train,404,14,18,1,1,2,0.429,,0.04455445544554455,1,1,1,1,1
1dklA,1dkl,A,lacuna,train,404,14,33,1,1,1,0.324,,0.08168316831683169,1,1,1,1,1
1dpjA,1dpj,A,fpocket,train,329,27,21,0,,0,0.226,,0.06382978723404255,0,0,0,0,0
1dpjA,1dpj,A,p2rank,train,329,27,7,1,1,1,0.531,,0.02127659574468085,1,1,1,1,1
1dpjA,1dpj,A,ifsitepred,train,329,27,29,1,1,1,0.296,,0.08814589665653495,1,1,1,1,1
1dpjA,1dpj,A,lacuna,train,329,27,22,1,1,1,0.407,,0.0668693009118541,1,1,1,1,1
1dq2A,1dq2,A,fpocket,test,224,9,9,1,7,1,0.286,,0.04017857142857143,0,0,0,1,1
1dq2A,1dq2,A,p2rank,test,224,9,3,0,,0,0.176,,0.013392857142857142,0,0,0,0,0
1dq2A,1dq2,A,ifsitepred,test,224,9,4,1,3,1,0.444,,0.017857142857142856,0,1,1,1,1
1dq2A,1dq2,A,lacuna,test,224,9,14,0,,0,0.16,,0.0625,0,0,0,0,0
1dqzA,1dqz,A,fpocket,train,280,18,13,1,2,2,0.45,,0.04642857142857143,0,1,1,1,1
1dqzA,1dqz,A,p2rank,train,280,18,7,1,1,1,0.424,,0.025,1,1,1,1,1
1dqzA,1dqz,A,ifsitepred,train,280,18,14,1,1,3,0.333,,0.05,1,1,1,1,1
1dqzA,1dqz,A,lacuna,train,280,18,15,1,1,2,0.435,,0.05357142857142857,1,1,1,1,1
1dteA,1dte,A,fpocket,train,269,7,15,0,,0,0.143,,0.055762081784386616,0,0,0,0,0
1dteA,1dte,A,p2rank,train,269,7,7,0,,0,0.214,,0.026022304832713755,0,0,0,0,0
1dteA,1dte,A,ifsitepred,train,269,7,24,1,8,4,0.429,,0.08921933085501858,0,0,0,1,1
1dteA,1dte,A,lacuna,train,269,7,21,0,,0,0.211,,0.07806691449814127,0,0,0,0,0
1e3gA,1e3g,A,fpocket,train,250,6,18,1,11,1,0.625,,0.072,0,0,0,0,1
1e3gA,1e3g,A,p2rank,train,250,6,7,0,,0,0.0,,0.028,0,0,0,0,0
1e3gA,1e3g,A,ifsitepred,train,250,6,9,0,,0,0.0,,0.036,0,0,0,0,0
1e3gA,1e3g,A,lacuna,train,250,6,24,1,22,1,0.667,,0.096,0,0,0,0,0
1e5lB,1e5l,B,fpocket,train,449,29,26,1,14,1,0.312,,0.05790645879732739,0,0,0,0,1
1e5lB,1e5l,B,p2rank,train,449,29,13,1,3,1,0.452,,0.028953229398663696,0,1,1,1,1
1e5lB,1e5l,B,ifsitepred,train,449,29,37,1,1,1,0.433,,0.08240534521158129,1,1,1,1,1
1e5lB,1e5l,B,lacuna,train,449,29,43,1,1,3,0.389,,0.0957683741648107,1,1,1,1,1
1e6kA,1e6k,A,fpocket,test,130,8,11,0,,0,0.143,,0.08461538461538462,0,0,0,0,0
1e6kA,1e6k,A,p2rank,test,130,8,3,1,3,1,0.364,,0.023076923076923078,0,1,1,1,1
1e6kA,1e6k,A,ifsitepred,test,130,8,13,1,2,4,0.375,,0.1,0,1,1,1,1
1e6kA,1e6k,A,lacuna,test,130,8,12,1,1,1,0.5,,0.09230769230769231,1,1,1,1,1
1eccB,1ecc,B,fpocket,train,492,5,23,0,,0,0.071,,0.046747967479674794,0,0,0,0,0
1eccB,1ecc,B,p2rank,train,492,5,15,0,,0,0.143,,0.03048780487804878,0,0,0,0,0
1eccB,1ecc,B,ifsitepred,train,492,5,23,0,,0,0.0,,0.046747967479674794,0,0,0,0,0
1eccB,1ecc,B,lacuna,train,492,5,35,0,,0,0.04,,0.07113821138211382,0,0,0,0,0
1efhB,1efh,B,fpocket,train,282,17,20,0,,0,0.244,,0.07092198581560284,0,0,0,0,0
1efhB,1efh,B,p2rank,train,282,17,9,0,,0,0.229,,0.031914893617021274,0,0,0,0,0
1efhB,1efh,B,ifsitepred,train,282,17,19,1,1,3,0.316,,0.0673758865248227,1,1,1,1,1
1efhB,1efh,B,lacuna,train,282,17,33,1,5,3,0.483,,0.11702127659574468,0,0,1,1,1
1eswA,1esw,A,fpocket,train,500,6,36,1,36,1,0.316,,0.072,0,0,0,0,0
1eswA,1esw,A,p2rank,train,500,6,17,0,,0,0.2,,0.034,0,0,0,0,0
1eswA,1esw,A,ifsitepred,train,500,6,44,1,29,2,0.667,,0.088,0,0,0,0,0
1eswA,1esw,A,lacuna,train,500,6,43,1,6,1,0.545,,0.086,0,0,0,1,1
1evyA,1evy,A,fpocket,test,346,32,20,1,4,2,0.425,,0.057803468208092484,0,0,1,1,1
1evyA,1evy,A,p2rank,test,346,32,11,1,1,1,0.675,,0.031791907514450865,1,1,1,1,1
1evyA,1evy,A,ifsitepred,test,346,32,32,0,,0,0.206,,0.09248554913294797,0,0,0,0,0
1evyA,1evy,A,lacuna,test,346,32,32,1,1,5,0.545,,0.09248554913294797,1,1,1,1,1
1ezlC,1ezl,C,fpocket,train,128,6,2,0,,0,0.056,,0.015625,0,0,0,0,0
1ezlC,1ezl,C,p2rank,train,128,6,0,0,,0,0.0,,0.0,0,0,0,0,0
1ezlC,1ezl,C,ifsitepred,train,128,6,1,0,,0,0.0,,0.0078125,0,0,0,0,0
1ezlC,1ezl,C,lacuna,train,128,6,3,0,,0,0.15,,0.0234375,0,0,0,0,0
1f47B,1f47,B,fpocket,train,144,14,8,0,,0,0.143,,0.05555555555555555,0,0,0,0,0
1f47B,1f47,B,p2rank,train,144,14,3,0,,0,0.1,,0.020833333333333332,0,0,0,0,0
1f47B,1f47,B,ifsitepred,train,144,14,7,1,2,2,0.5,,0.04861111111111111,0,1,1,1,1
1f47B,1f47,B,lacuna,train,144,14,10,1,1,1,0.786,,0.06944444444444445,1,1,1,1,1
1f8aB,1f8a,B,fpocket,train,155,16,10,1,4,1,0.5,,0.06451612903225806,0,0,1,1,1
1f8aB,1f8a,B,p2rank,train,155,16,2,1,1,1,0.75,,0.012903225806451613,1,1,1,1,1
1f8aB,1f8a,B,ifsitepred,train,155,16,12,1,1,3,0.562,,0.07741935483870968,1,1,1,1,1
1f8aB,1f8a,B,lacuna,train,155,16,7,0,,0,0.036,,0.04516129032258064,0,0,0,0,0
1fd9A,1fd9,A,fpocket,train,204,13,11,1,1,1,0.75,,0.05392156862745098,1,1,1,1,1
1fd9A,1fd9,A,p2rank,train,204,13,3,1,1,1,0.733,,0.014705882352941176,1,1,1,1,1
1fd9A,1fd9,A,ifsitepred,train,204,13,17,1,1,2,0.769,,0.08333333333333333,1,1,1,1,1
1fd9A,1fd9,A,lacuna,train,204,13,13,1,1,1,0.625,,0.06372549019607843,1,1,1,1,1
1ffhA,1ffh,A,fpocket,train,287,10,26,1,3,2,0.533,,0.09059233449477352,0,1,1,1,1
1ffhA,1ffh,A,p2rank,train,287,10,7,1,1,1,0.5,,0.024390243902439025,1,1,1,1,1
1ffhA,1ffh,A,ifsitepred,train,287,10,29,1,1,3,0.643,,0.10104529616724739,1,1,1,1,1
1ffhA,1ffh,A,lacuna,train,287,10,19,1,1,1,0.385,,0.06620209059233449,1,1,1,1,1
1fl1B,1fl1,B,fpocket,train,207,19,12,0,,0,0.16,,0.057971014492753624,0,0,0,0,0
1fl1B,1fl1,B,p2rank,train,207,19,5,0,,0,0.143,,0.024154589371980676,0,0,0,0,0
1fl1B,1fl1,B,ifsitepred,train,207,19,7,0,,0,0.0,,0.033816425120772944,0,0,0,0,0
1fl1B,1fl1,B,lacuna,train,207,19,19,1,1,2,0.261,,0.09178743961352658,1,1,1,1,1
1fvrA,1fvr,A,fpocket,train,299,26,17,0,,0,0.059,,0.056856187290969896,0,0,0,0,0
1fvrA,1fvr,A,p2rank,train,299,26,7,0,,0,0.182,,0.023411371237458192,0,0,0,0,0
1fvrA,1fvr,A,ifsitepred,train,299,26,19,0,,0,0.179,,0.06354515050167224,0,0,0,0,0
1fvrA,1fvr,A,lacuna,train,299,26,26,1,1,3,0.333,,0.08695652173913043,1,1,1,1,1
1fwkC,1fwk,C,fpocket,train,296,12,18,1,10,1,0.667,,0.060810810810810814,0,0,0,1,1
1fwkC,1fwk,C,p2rank,train,296,12,4,1,1,1,0.25,,0.013513513513513514,1,1,1,1,1
1fwkC,1fwk,C,ifsitepred,train,296,12,31,1,1,1,0.545,,0.10472972972972973,1,1,1,1,1
1fwkC,1fwk,C,lacuna,train,296,12,24,1,1,3,0.4,,0.08108108108108109,1,1,1,1,1
1g24C,1g24,C,fpocket,train,211,23,14,1,1,2,0.5,,0.06635071090047394,1,1,1,1,1
1g24C,1g24,C,p2rank,train,211,23,2,1,1,1,0.625,,0.009478672985781991,1,1,1,1,1
1g24C,1g24,C,ifsitepred,train,211,23,19,1,2,2,0.32,,0.09004739336492891,0,1,1,1,1
1g24C,1g24,C,lacuna,train,211,23,14,1,1,4,0.458,,0.06635071090047394,1,1,1,1,1
1g59A,1g59,A,fpocket,test,468,15,33,1,1,1,0.394,,0.07051282051282051,1,1,1,1,1
1g59A,1g59,A,p2rank,test,468,15,9,1,1,1,0.385,,0.019230769230769232,1,1,1,1,1
1g59A,1g59,A,ifsitepred,test,468,15,39,1,15,4,0.312,,0.08333333333333333,0,0,0,0,1
1g59A,1g59,A,lacuna,test,468,15,38,1,1,2,0.379,,0.0811965811965812,1,1,1,1,1
1gqnA,1gqn,A,fpocket,train,252,15,10,1,1,1,0.414,,0.03968253968253968,1,1,1,1,1
1gqnA,1gqn,A,p2rank,train,252,15,4,1,1,1,0.414,,0.015873015873015872,1,1,1,1,1
1gqnA,1gqn,A,ifsitepred,train,252,15,33,1,2,5,0.333,,0.13095238095238096,0,1,1,1,1
1gqnA,1gqn,A,lacuna,train,252,15,21,1,1,1,0.5,,0.08333333333333333,1,1,1,1,1
1gqzA,1gqz,A,fpocket,train,274,18,17,1,1,1,0.308,,0.06204379562043796,1,1,1,1,1
1gqzA,1gqz,A,p2rank,train,274,18,6,1,1,1,0.308,,0.021897810218978103,1,1,1,1,1
1gqzA,1gqz,A,ifsitepred,train,274,18,23,1,3,3,0.389,,0.08394160583941605,0,1,1,1,1
1gqzA,1gqz,A,lacuna,train,274,18,20,1,1,3,0.389,,0.072992700729927,1,1,1,1,1
1h13A,1h13,A,fpocket,test,404,5,16,0,,0,0.222,,0.039603960396039604,0,0,0,0,0
1h13A,1h13,A,p2rank,test,404,5,8,0,,0,0.132,,0.019801980198019802,0,0,0,0,0
1h13A,1h13,A,ifsitepred,test,404,5,31,1,1,3,0.8,,0.07673267326732673,1,1,1,1,1
1h13A,1h13,A,lacuna,test,404,5,24,0,,0,0.2,,0.0594059405940594,0,0,0,0,0
1h3gB,1h3g,B,fpocket,train,598,3,44,1,34,1,0.25,,0.07357859531772576,0,0,0,0,0
1h3gB,1h3g,B,p2rank,train,598,3,31,0,,0,0.074,,0.051839464882943144,0,0,0,0,0
1h3gB,1h3g,B,ifsitepred,train,598,3,37,1,4,3,0.4,,0.061872909698996656,0,0,1,1,1
1h3gB,1h3g,B,lacuna,train,598,3,52,0,,0,0.111,,0.08695652173913043,0,0,0,0,0
1havA,1hav,A,fpocket,train,216,14,15,1,6,3,0.467,,0.06944444444444445,0,0,0,1,1
1havA,1hav,A,p2rank,train,216,14,6,1,1,1,0.345,,0.027777777777777776,1,1,1,1,1
1havA,1hav,A,ifsitepred,train,216,14,18,1,1,3,0.294,,0.08333333333333333,1,1,1,1,1
1havA,1hav,A,lacuna,train,216,14,21,1,1,2,0.55,,0.09722222222222222,1,1,1,1,1
1hbqA,1hbq,A,fpocket,train,177,20,14,1,1,1,0.571,,0.07909604519774012,1,1,1,1,1
1hbqA,1hbq,A,p2rank,train,177,20,6,1,1,1,0.556,,0.03389830508474576,1,1,1,1,1
1hbqA,1hbq,A,ifsitepred,train,177,20,16,1,1,4,0.348,,0.0903954802259887,1,1,1,1,1
1hbqA,1hbq,A,lacuna,train,177,20,14,1,1,1,0.5,,0.07909604519774012,1,1,1,1,1
1hp1A,1hp1,A,fpocket,train,516,10,30,0,,0,0.171,,0.05813953488372093,0,0,0,0,0
1hp1A,1hp1,A,p2rank,train,516,10,8,0,,0,0.139,,0.015503875968992248,0,0,0,0,0
1hp1A,1hp1,A,ifsitepred,train,516,10,31,1,9,1,0.286,,0.060077519379844964,0,0,0,1,1
1hp1A,1hp1,A,lacuna,train,516,10,38,1,6,1,0.318,,0.07364341085271318,0,0,0,1,1
1ht6A,1ht6,A,fpocket,train,404,5,22,1,3,1,0.278,,0.054455445544554455,0,1,1,1,1
1ht6A,1ht6,A,p2rank,train,404,5,10,1,3,1,0.267,,0.024752475247524754,0,1,1,1,1
1ht6A,1ht6,A,ifsitepred,train,404,5,20,1,2,5,0.8,,0.04950495049504951,0,1,1,1,1
1ht6A,1ht6,A,lacuna,train,404,5,23,1,2,1,0.294,,0.05693069306930693,0,1,1,1,1
1i0rB,1i0r,B,fpocket,train,168,24,14,1,1,2,0.577,,0.08333333333333333,1,1,1,1,1
1i0rB,1i0r,B,p2rank,train,168,24,6,1,1,1,0.517,,0.03571428571428571,1,1,1,1,1
1i0rB,1i0r,B,ifsitepred,train,168,24,30,1,2,3,0.417,,0.17857142857142858,0,1,1,1,1
1i0rB,1i0r,B,lacuna,train,168,24,9,1,1,1,0.406,,0.05357142857142857,1,1,1,1,1
1i7nA,1i7n,A,fpocket,test,308,20,26,1,21,1,0.286,,0.08441558441558442,0,0,0,0,0
1i7nA,1i7n,A,p2rank,test,308,20,8,0,,0,0.214,,0.025974025974025976,0,0,0,0,0
1i7nA,1i7n,A,ifsitepred,test,308,20,29,0,,0,0.241,,0.09415584415584416,0,0,0,0,0
1i7nA,1i7n,A,lacuna,test,308,20,16,1,1,3,0.333,,0.05194805194805195,1,1,1,1,1
1iwlA,1iwl,A,fpocket,train,177,32,15,0,,0,0.171,,0.0847457627118644,0,0,0,0,0
1iwlA,1iwl,A,p2rank,train,177,32,3,0,,0,0.182,,0.01694915254237288,0,0,0,0,0
1iwlA,1iwl,A,ifsitepred,train,177,32,21,0,,0,0.118,,0.11864406779661017,0,0,0,0,0
1iwlA,1iwl,A,lacuna,train,177,32,10,1,3,1,0.341,,0.05649717514124294,0,1,1,1,1
1j8fC,1j8f,C,fpocket,train,303,37,20,1,10,1,0.439,,0.066006600660066,0,0,0,1,1
1j8fC,1j8f,C,p2rank,train,303,37,10,1,1,1,0.298,,0.033003300330033,1,1,1,1,1
1j8fC,1j8f,C,ifsitepred,train,303,37,26,1,1,1,0.25,,0.0858085808580858,1,1,1,1,1
1j8fC,1j8f,C,lacuna,train,303,37,26,1,1,3,0.511,,0.0858085808580858,1,1,1,1,1
1jpmA,1jpm,A,fpocket,train,359,10,15,1,2,1,0.474,,0.04178272980501393,0,1,1,1,1
1jpmA,1jpm,A,p2rank,train,359,10,8,1,1,1,0.455,,0.022284122562674095,1,1,1,1,1
1jpmA,1jpm,A,ifsitepred,train,359,10,21,1,1,5,0.75,,0.0584958217270195,1,1,1,1,1
1jpmA,1jpm,A,lacuna,train,359,10,32,1,2,2,0.429,,0.08913649025069638,0,1,1,1,1
1k0nA,1k0n,A,fpocket,train,226,5,12,1,5,1,0.714,,0.05309734513274336,0,0,1,1,1
1k0nA,1k0n,A,p2rank,train,226,5,5,1,1,1,0.308,,0.022123893805309734,1,1,1,1,1
1k0nA,1k0n,A,ifsitepred,train,226,5,22,0,,0,0.0,,0.09734513274336283,0,0,0,0,0
1k0nA,1k0n,A,lacuna,train,226,5,22,0,,0,0.222,,0.09734513274336283,0,0,0,0,0
1k1xB,1k1x,B,fpocket,train,636,8,39,1,27,2,0.667,,0.06132075471698113,0,0,0,0,0
1k1xB,1k1x,B,p2rank,train,636,8,13,0,,0,0.133,,0.020440251572327043,0,0,0,0,0
1k1xB,1k1x,B,ifsitepred,train,636,8,32,1,5,3,0.625,,0.050314465408805034,0,0,1,1,1
1k1xB,1k1x,B,lacuna,train,636,8,49,0,,0,0.125,,0.0770440251572327,0,0,0,0,0
1k47D,1k47,D,fpocket,test,322,14,25,1,8,2,0.6,,0.07763975155279502,0,0,0,1,1
1k47D,1k47,D,p2rank,test,322,14,5,1,1,1,0.255,,0.015527950310559006,1,1,1,1,1
1k47D,1k47,D,ifsitepred,test,322,14,24,1,2,2,0.667,,0.07453416149068323,0,1,1,1,1
1k47D,1k47,D,lacuna,test,322,14,31,1,1,2,0.526,,0.09627329192546584,1,1,1,1,1
1k4kD,1k4k,D,fpocket,train,212,26,13,1,1,2,0.457,,0.06132075471698113,1,1,1,1,1
1k4kD,1k4k,D,p2rank,train,212,26,2,1,1,1,0.625,,0.009433962264150943,1,1,1,1,1
1k4kD,1k4k,D,ifsitepred,train,212,26,23,1,1,3,0.429,,0.10849056603773585,1,1,1,1,1
1k4kD,1k4k,D,lacuna,train,212,26,18,1,1,5,0.512,,0.08490566037735849,1,1,1,1,1
1k7kA,1k7k,A,fpocket,train,207,24,11,1,2,2,0.44,,0.05314009661835749,0,1,1,1,1
1k7kA,1k7k,A,p2rank,train,207,24,3,1,1,1,0.636,,0.014492753623188406,1,1,1,1,1
1k7kA,1k7k,A,ifsitepred,train,207,24,18,1,2,3,0.4,,0.08695652173913043,0,1,1,1,1
1k7kA,1k7k,A,lacuna,train,207,24,12,1,1,3,0.457,,0.057971014492753624,1,1,1,1,1
1kg5A,1kg5,A,fpocket,train,225,3,11,0,,0,0.182,,0.04888888888888889,0,0,0,0,0
1kg5A,1kg5,A,p2rank,train,225,3,2,0,,0,0.0,,0.008888888888888889,0,0,0,0,0
1kg5A,1kg5,A,ifsitepred,train,225,3,33,0,,0,0.143,,0.14666666666666667,0,0,0,0,0
1kg5A,1kg5,A,lacuna,train,225,3,13,0,,0,0.231,,0.057777777777777775,0,0,0,0,0
1kn9D,1kn9,D,fpocket,train,214,15,14,1,2,2,0.421,,0.06542056074766354,0,1,1,1,1
1kn9D,1kn9,D,p2rank,train,214,15,5,1,1,2,0.4,,0.02336448598130841,1,1,1,1,1
1kn9D,1kn9,D,ifsitepred,train,214,15,16,1,1,3,0.471,,0.07476635514018691,1,1,1,1,1
1kn9D,1kn9,D,lacuna,train,214,15,16,1,1,2,0.48,,0.07476635514018691,1,1,1,1,1
1ks9A,1ks9,A,fpocket,train,291,30,16,1,1,2,0.474,,0.054982817869415807,1,1,1,1,1
1ks9A,1ks9,A,p2rank,train,291,30,6,1,1,1,0.591,,0.020618556701030927,1,1,1,1,1
1ks9A,1ks9,A,ifsitepred,train,291,30,36,1,3,3,0.29,,0.12371134020618557,0,1,1,1,1
1ks9A,1ks9,A,lacuna,train,291,30,21,1,1,3,0.525,,0.07216494845360824,1,1,1,1,1
1ksgB,1ksg,B,fpocket,test,128,18,5,1,4,1,0.31,,0.0390625,0,0,1,1,1
1ksgB,1ksg,B,p2rank,test,128,18,1,1,1,1,0.321,,0.0078125,1,1,1,1,1
1ksgB,1ksg,B,ifsitepred,test,128,18,13,1,1,1,0.368,,0.1015625,1,1,1,1,1
1ksgB,1ksg,B,lacuna,test,128,18,14,1,2,4,0.45,,0.109375,0,1,1,1,1
1kx9A,1kx9,A,fpocket,test,108,14,7,1,1,1,0.263,,0.06481481481481481,1,1,1,1,1
1kx9A,1kx9,A,p2rank,test,108,14,1,0,,0,0.136,,0.009259259259259259,0,0,0,0,0
1kx9A,1kx9,A,ifsitepred,test,108,14,0,0,,0,0.0,,0.0,0,0,0,0,0
1kx9A,1kx9,A,lacuna,test,108,14,7,1,2,1,0.25,,0.06481481481481481,0,1,1,1,1
1kxrA,1kxr,A,fpocket,test,320,19,20,1,1,2,0.5,,0.0625,1,1,1,1,1
1kxrA,1kxr,A,p2rank,test,320,19,13,1,1,1,0.458,,0.040625,1,1,1,1,1
1kxrA,1kxr,A,ifsitepred,test,320,19,16,1,3,2,0.421,,0.05,0,1,1,1,1
1kxrA,1kxr,A,lacuna,test,320,19,23,1,1,2,0.484,,0.071875,1,1,1,1,1
1l0wB,1l0w,B,fpocket,train,580,28,56,1,24,2,0.533,,0.09655172413793103,0,0,0,0,0
1l0wB,1l0w,B,p2rank,train,580,28,10,1,1,1,0.59,,0.017241379310344827,1,1,1,1,1
1l0wB,1l0w,B,ifsitepred,train,580,28,68,1,1,3,0.31,,0.11724137931034483,1,1,1,1,1
1l0wB,1l0w,B,lacuna,train,580,28,58,1,1,3,0.471,,0.1,1,1,1,1,1
